category,meanRAX,sdRAX,minRAX,maxRAX,lenRAX,stepRAX,rmsRAX,entropy1RAX,entrpy2RAX,fftRAX,meanRAY,sdRAY,minRAY,maxRAY,lenRAY,stepRAY,rmsRAY,entropy1RAY,entrpy2RAY,fftRAY,meanRAZ,sdRAZ,minRAZ,maxRAZ,lenRAZ,stepRAZ,rmsRAZ,entropy1RAZ,entrpy2RAZ,fftRAZ,meanGX,sdGX,minGX,maxGX,lenGX,stepGX,rmsGX,entropy1GX,entrpy2GX,fftGX,meanGY,sdGY,minGY,maxGY,lenGY,stepGY,rmsGY,entropy1GY,entrpy2GY,fftGY,meanGZ,sdGZ,minGZ,maxGZ,lenGZ,stepGZ,rmsGZ,entropy1GZ,entrpy2GZ,fftGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.33366,0.26665,0.0271,0.73627,29,580,0.42424,4.3181,5.2195,0.20711,-0.1753,0.36139,-0.75305,0.43466,29,580,0.39602,3.3437,4.548,0.32957,9.6629,0.44216,9.1826,10.382,29,580,9.6726,4.8565,2713.2,0.41585,-3.31E-05,0.017157,-0.028793,0.021927,29,580,0.016858,-33.855,0.0082418,0.011191,0.0050985,0.020825,-0.019287,0.037567,29,580,0.021089,1.4347,0.012897,0.017712,-0.0097193,0.0027818,-0.014877,-0.0049133,29,580,0.010096,4.8009,0.0029562,0.0021282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.33366,0.26665,0.0271,0.73627,29,580,0.42424,4.3181,5.2195,0.20711,-0.1753,0.36139,-0.75305,0.43466,29,580,0.39602,3.3437,4.548,0.32957,9.6629,0.44216,9.1826,10.382,29,580,9.6726,4.8565,2713.2,0.41585,-3.31E-05,0.017157,-0.028793,0.021927,29,580,0.016858,-33.855,0.0082418,0.011191,0.0050985,0.020825,-0.019287,0.037567,29,580,0.021089,1.4347,0.012897,0.017712,-0.0097193,0.0027818,-0.014877,-0.0049133,29,580,0.010096,4.8009,0.0029562,0.0021282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.33366,0.26665,0.0271,0.73627,29,580,0.42424,4.3181,5.2195,0.20711,-0.1753,0.36139,-0.75305,0.43466,29,580,0.39602,3.3437,4.548,0.32957,9.6629,0.44216,9.1826,10.382,29,580,9.6726,4.8565,2713.2,0.41585,-3.31E-05,0.017157,-0.028793,0.021927,29,580,0.016858,-33.855,0.0082418,0.011191,0.0050985,0.020825,-0.019287,0.037567,29,580,0.021089,1.4347,0.012897,0.017712,-0.0097193,0.0027818,-0.014877,-0.0049133,29,580,0.010096,4.8009,0.0029562,0.0021282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.49642,0.31472,-0.31664,0.9371,87,1740,0.58681,6.1075,29.958,0.20113,-0.19585,0.28038,-0.78566,0.23192,87,1740,0.34068,5.0075,10.098,0.22703,9.706,0.50857,8.6119,10.651,87,1740,9.7191,6.441,8218.2,0.36812,-0.013377,0.020921,-0.05629,0.025452,87,1740,0.02473,5.1547,0.053208,0.01839,-0.0022302,0.022376,-0.047791,0.053085,87,1740,0.022359,3.0657,0.043492,0.01524,-0.010122,0.0071796,-0.022629,0.0024719,87,1740,0.012386,5.9567,0.013346,0.0082781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.49642,0.31472,-0.31664,0.9371,87,1740,0.58681,6.1075,29.958,0.20113,-0.19585,0.28038,-0.78566,0.23192,87,1740,0.34068,5.0075,10.098,0.22703,9.706,0.50857,8.6119,10.651,87,1740,9.7191,6.441,8218.2,0.36812,-0.013377,0.020921,-0.05629,0.025452,87,1740,0.02473,5.1547,0.053208,0.01839,-0.0022302,0.022376,-0.047791,0.053085,87,1740,0.022359,3.0657,0.043492,0.01524,-0.010122,0.0071796,-0.022629,0.0024719,87,1740,0.012386,5.9567,0.013346,0.0082781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.49642,0.31472,-0.31664,0.9371,87,1740,0.58681,6.1075,29.958,0.20113,-0.19585,0.28038,-0.78566,0.23192,87,1740,0.34068,5.0075,10.098,0.22703,9.706,0.50857,8.6119,10.651,87,1740,9.7191,6.441,8218.2,0.36812,-0.013377,0.020921,-0.05629,0.025452,87,1740,0.02473,5.1547,0.053208,0.01839,-0.0022302,0.022376,-0.047791,0.053085,87,1740,0.022359,3.0657,0.043492,0.01524,-0.010122,0.0071796,-0.022629,0.0024719,87,1740,0.012386,5.9567,0.013346,0.0082781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.38258,0.17542,0.050079,0.67694,34,680,0.4198,4.9096,5.992,0.12813,-0.10154,0.20725,-0.38181,0.24547,34,680,0.22803,3.5774,1.7679,0.12643,9.4246,0.45747,8.8692,10.157,34,680,9.4354,5.0858,3026.9,0.2685,-0.0085777,0.009286,-0.026718,0.00914,34,680,0.012541,4.3915,0.0053472,0.010603,0.018737,0.014447,-0.015564,0.04303,34,680,0.02353,4.6678,0.018825,0.012179,-0.0013248,0.0045556,-0.012451,0.0061493,34,680,0.0046795,2.6456,0.00074454,0.0056511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.1218,0.43432,-0.57707,0.86028,76,1520,0.44832,3.6481,15.275,0.44782,-0.19666,0.37809,-0.80592,0.4727,76,1520,0.42397,4.819,13.661,0.30767,9.9732,0.6425,8.5435,11.215,76,1520,9.9936,6.2449,7590.2,0.42235,0.015069,0.019426,-0.020309,0.056763,76,1520,0.024485,5.0628,0.045562,0.016681,-0.018787,0.034908,-0.079834,0.044861,76,1520,0.03944,4.6501,0.11822,0.013399,-0.012751,0.0098883,-0.029175,0.0017242,76,1520,0.016096,5.7218,0.01969,0.010576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-0.08515,0.78625,-2.1052,1.2148,130,2600,0.78783,0.65384,80.689,0.41064,-0.065381,0.49364,-1.1703,1.0458,130,2600,0.49607,4.4952,31.99,0.32746,9.6924,0.92139,7.2556,11.353,130,2600,9.7358,7.0156,12322,0.51575,0.0097167,0.023579,-0.028107,0.055649,130,2600,0.025419,4.7973,0.083994,0.017873,-0.00056857,0.05458,-0.097961,0.11877,130,2600,0.054372,3.3572,0.38433,0.04546,-0.0050735,0.012867,-0.02626,0.022552,130,2600,0.013785,5.361,0.024704,0.015236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-0.5581,0.60369,-1.3479,0.96796,58,1160,0.81831,5.2184,38.839,0.35615,0.10074,0.25312,-0.2648,0.64391,58,1160,0.27039,3.6578,4.2406,0.15947,10.072,0.89026,8.6587,11.82,58,1160,10.111,5.8525,5929,0.58367,-0.013089,0.029227,-0.061951,0.054031,58,1160,0.031793,4.4864,0.058627,0.017787,-0.0027395,0.057896,-0.1069,0.11877,58,1160,0.05746,-3.8073,0.19149,0.040075,-0.0043972,0.0087725,-0.02626,0.0076752,58,1160,0.009745,3.98,0.0055079,0.0089648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
